Product_Name,Category_Type,Sale_Price,Original_Price,Discount_Percentage,Rating,Review_Count,Stock_Status,Available_Colors,Tags
Lumin L-300 Power Bank,Powerbank,24999.0,45999.0,46.0,4.82,89.5,In Stock,"Orange, Black","powerbank, pre-order"
Core X 10000 Power Bank,Powerbank,9499.0,23999.0,60.0,5.0,1.0,In Stock,"Gray, Silver","powerbank, pre-order"
Glide Zbuds,Earbuds,8499.0,15999.0,47.0,4.82,89.5,In Stock,"Black, Blue, Green","earbuds, pre-order"
Pulse Pro 200 Power Bank,Powerbank,12999.0,24999.0,48.0,4.82,89.5,In Stock,Black,"powerbank, pre-order"
Regal AI Pro Smartwatch,Smart Watch,29999.0,39999.0,25.0,5.0,2.0,In Stock,"Black Gold, Brown Gold, Silver Black, Green Gold, Black Green","pre-order, smartwatch"
Arcade Nitro Zbuds,Earbuds,6499.0,14999.0,57.0,5.0,4.0,In Stock,"Neon White, Battle Green, Phantom Black","earbuds, pre-order"
Nexus Pro Zbuds,Earbuds,7999.0,24999.0,68.0,4.79,19.0,In Stock,"Lilac Purple, Jet Black, Milky White, Ice Blue, Forest Green","earbuds, pre-order"
Pakistan Edition Z BUDS,Earbuds,9999.0,9999.0,0.0,4.5,4.0,In Stock,Pak Edition Gift Box,pre-order
Voltix V-200 Power Bank,Powerbank,9499.0,22999.0,59.0,4.62,16.0,In Stock,"Black, Blue, Gradient Green","powerbank, pre-order"
Lumin L-200 Power Bank,Powerbank,8999.0,22999.0,61.0,4.5,2.0,In Stock,"Black, Dark Blue, Orange","powerbank, pre-order"
Lumin L-100 Power Bank,Powerbank,5999.0,18999.0,68.0,4.86,14.0,In Stock,"Orange, Black, Dark Blue","powerbank, pre-order"
Voltix V-100 Power Bank,Powerbank,5999.0,18999.0,68.0,4.77,30.0,In Stock,"Black, Gradient Blue, Silver","powerbank, pre-order"
